"date","squat","bench_press","press","cable_rows","pull_ups","chin_ups","power_clean","deadlift"
"2021-03-09",3,3,NA,3,NA,NA,NA,1
"2021-03-11",3,NA,3,NA,"3",NA,NA,1
"2021-03-13",3,3,NA,NA,NA,"3",NA,1
"2021-03-16",3,NA,3,3,NA,NA,5,NA
"2021-03-18",3,3,NA,NA,"3",NA,NA,1
"2021-03-20",3,NA,3,NA,NA,"3",5,NA
"2021-03-23",3,3,NA,3,NA,NA,NA,1
"2021-03-25",3,NA,3,NA,"3",NA,5,NA
"2021-03-27",3,3,NA,NA,NA,"3",NA,1
"2021-03-30",3,NA,3,3,NA,NA,5,NA
"2021-04-01",3,3,NA,NA,"3",NA,NA,1
"2021-04-06",3,NA,3,NA,NA,"3",5,NA
"2021-04-08",3,3,NA,3,NA,NA,NA,1
"2021-04-10",3,NA,3,NA,"3",NA,5,NA
"2021-04-13",3,3,NA,NA,NA,"3",NA,1
"2021-04-15",3,NA,3,3,NA,NA,5,NA
"2021-04-17",3,3,NA,NA,"3",NA,NA,1
"2021-04-20",3,NA,3,NA,NA,"3",5,NA
"2021-04-22",3,3,NA,3,NA,NA,NA,1
