"date","workout","squat","bench_press","press","cable_rows","pull_ups","chin_ups","power_clean","deadlift","bodyweight"
"2021-03-09","A",60,70,NA,55,NA,NA,NA,80,NA
"2021-03-11","B",65,NA,40,NA,"0",NA,NA,85,NA
"2021-03-13","A",40,72.5,NA,NA,NA,"0",NA,87,NA
"2021-03-16","B",42,NA,42,60,NA,NA,30,NA,NA
"2021-03-18","A",44,74,NA,NA,"0",NA,NA,89,NA
"2021-03-20","B",47,NA,44,NA,NA,"0",40,NA,NA
"2021-03-23","A",50,75,NA,65,NA,NA,NA,92,80.5
"2021-03-25","B",52,NA,45,NA,"0",NA,45,NA,81.3
"2021-03-27","A",55,77,NA,NA,NA,"0",NA,95,NA
"2021-03-30","B",57,NA,46,65,NA,NA,47,NA,NA
"2021-04-01","A",60,77.5,NA,NA,"0",NA,NA,99,NA
"2021-04-06","B",62,NA,47,NA,NA,"0",50,NA,NA
"2021-04-08","A",65,79,NA,70,NA,NA,NA,102,NA
"2021-04-10","B",67,NA,47.5,NA,"0",NA,52,NA,NA
"2021-04-13","A",70,80,NA,NA,NA,"0",NA,105,NA
"2021-04-15","B",72,NA,49,70,NA,NA,55,NA,NA
"2021-04-17","A",74,82,NA,NA,"0",NA,NA,107,NA
"2021-04-20","B",77,NA,50,NA,NA,"0",57,NA,82.6
"2021-04-22","A",79,82.5,NA,75,NA,NA,NA,110,NA
